state,stunting,bmi_below_normal,institutional_births,bank_account,health_insurance
Andhra Pradesh,24.6,12.3,98.4,92.3,91.9
Arunachal Pradesh,24.1,6.8,88.7,91.2,51.8
Assam,30.3,16.2,87.6,91.7,70.3
Bihar,35.6,27.2,81.1,90.9,21.1
Chhattisgarh,27.5,27.6,86.9,93.4,90.5
Goa,19.4,18.3,99.6,91.1,71.7
Gujarat,35.3,30.1,97.1,82.2,57.9
Haryana,25.9,19.4,96.3,85.2,68.3
Himachal Pradesh,20.6,15.3,91.7,93.0,61.4
Jharkhand,35.0,32.1,77.4,90.8,58.4
Karnataka,26.5,18.6,98.7,94.7,63.3
Kerala,20.1,12.9,99.7,91.7,57.1
Madhya Pradesh,31.4,29.9,89.8,92.1,73.6
Maharashtra,29.5,22.5,96.4,84.0,38.3
Meghalaya,36.8,10.1,65.6,81.5,74.9
Mizoram,26.1,6.5,91.2,93.6,60.1
Nagaland,25.1,9.9,62.2,85.7,66.1
Odisha,26.8,20.5,93.9,90.6,82.7
Punjab,20.4,15.4,96.1,87.9,49.2
Rajasthan,29.6,30.3,94.1,89.1,88.7
Sikkim,20.1,5.5,97.7,91.4,36.2
Tamil Nadu,20.7,14.0,99.7,90.0,61.1
Telangana,27.0,19.5,98.8,92.3,82.2
Tripura,21.9,19.2,89.1,91.6,56.5
Uttar Pradesh,31.5,23.9,85.9,83.5,37.2
Uttarakhand,20.0,16.3,88.9,91.0,79.5
West Bengal,22.4,17.0,94.9,95.3,88.2
Jammu and Kashmir,21.4,10.3,93.6,84.9,96.3
